"OTU","Bin"
"OTU1301",20
"OTU1081",20
"OTU2397",20
"OTU2691",20
"OTU2308",20
"OTU788",20
"OTU805",20
"OTU1297",20
"OTU1279",20
"OTU2506",20
"OTU2378",20
"OTU1137",20
"OTU2713",20
"OTU2620",20
"OTU2293",20
"OTU1024",20
"OTU1130",20
"OTU1309",20
"OTU2533",20
"OTU912",20
"OTU1282",21
"OTU768",21
"OTU751",21
"OTU1296",21
"OTU1280",21
"OTU1288",21
"OTU570",21
"OTU1037",21
"OTU430",21
"OTU1025",21
"OTU225",21
"OTU1178",21
"OTU2280",21
"OTU970",21
"OTU341",21
"OTU183",21
"OTU239",21
"OTU750",21
"OTU942",21
"OTU1319",21
"OTU376",21
"OTU2119",21
"OTU2659",21
"OTU379",21
"OTU492",21
"OTU2487",21
"OTU543",21
"OTU44",21
"OTU897",21
"OTU1002",21
"OTU338",21
"OTU583",22
"OTU3062",22
"OTU1505",22
"OTU1511",22
"OTU3234",22
"OTU2972",22
"OTU2888",22
"OTU1647",22
"OTU2001",22
"OTU1587",22
"OTU1657",22
"OTU2388",22
"OTU1852",22
"OTU3249",22
"OTU2984",22
"OTU1789",22
"OTU1851",22
"OTU2799",22
"OTU1652",22
"OTU1968",22
"OTU711",22
"OTU1620",22
"OTU3160",22
"OTU2194",22
"OTU1074",22
"OTU935",22
"OTU901",22
"OTU1201",22
"OTU950",22
"OTU2345",22
"OTU2375",22
"OTU104",22
"OTU2174",22
"OTU2615",22
"OTU576",22
"OTU46",22
"OTU1491",22
"OTU2775",22
"OTU1867",22
"OTU1794",22
"OTU2778",22
"OTU1801",22
"OTU1985",22
"OTU3251",22
"OTU484",22
"OTU3209",22
"OTU1478",22
"OTU2579",22
"OTU3163",22
"OTU724",22
"OTU1365",23
"OTU2664",23
"OTU3318",23
"OTU144",23
"OTU1853",23
"OTU3315",23
"OTU3056",23
"OTU1790",23
"OTU1877",23
"OTU3131",23
"OTU3148",23
"OTU1486",23
"OTU1800",23
"OTU2098",23
"OTU3254",23
"OTU694",23
"OTU566",23
"OTU3211",23
"OTU3305",23
"OTU1433",23
"OTU672",23
"OTU3207",23
"OTU3263",23
"OTU3253",23
"OTU3334",23
"OTU3190",23
"OTU3280",23
"OTU3192",23
"OTU3266",23
"OTU3242",23
"OTU1567",23
"OTU2033",23
"OTU2090",23
"OTU3295",23
"OTU3177",23
"OTU3323",23
"OTU1889",23
"OTU2820",23
"OTU1206",23
"OTU2670",23
"OTU3283",23
"OTU3317",23
"OTU1700",23
"OTU3193",23
"OTU2016",23
"OTU3248",23
"OTU3333",23
"OTU3219",24
"OTU1811",24
"OTU1844",24
"OTU2745",24
"OTU3291",24
"OTU1419",24
"OTU2947",24
"OTU3081",24
"OTU2114",24
"OTU2785",24
"OTU2748",24
"OTU2779",24
"OTU3021",24
"OTU1758",24
"OTU3094",24
"OTU1895",24
"OTU3324",24
"OTU1840",24
"OTU2924",24
"OTU867",24
"OTU2643",24
"OTU3005",24
"OTU1920",24
"OTU1535",24
"OTU2876",24
"OTU2085",24
"OTU3003",24
"OTU1658",24
"OTU1756",24
"OTU1643",24
"OTU1667",24
"OTU2253",24
"OTU2937",24
"OTU2998",24
"OTU2918",24
"OTU1764",24
"OTU1625",25
"OTU1744",25
"OTU3197",25
"OTU1892",25
"OTU2112",25
"OTU2642",25
"OTU2079",25
"OTU1950",25
"OTU2873",25
"OTU3284",25
"OTU1907",25
"OTU2080",25
"OTU3143",25
"OTU3075",25
"OTU3091",25
"OTU3058",25
"OTU3115",25
"OTU3171",25
"OTU1503",25
"OTU1688",25
"OTU1780",25
"OTU1528",25
"OTU655",25
"OTU3157",25
"OTU3066",25
"OTU3335",25
"OTU1030",25
"OTU1417",25
"OTU2787",25
"OTU1714",25
"OTU3214",25
"OTU2932",25
"OTU1268",25
"OTU3078",25
"OTU3002",25
"OTU2878",25
"OTU176",25
"OTU2865",25
"OTU3025",25
"OTU2833",25
"OTU3018",25
"OTU2096",25
"OTU2000",25
"OTU1958",25
"OTU1642",25
"OTU1508",25
"OTU2073",25
"OTU1952",25
"OTU2081",25
"OTU1772",25
"OTU2973",25
"OTU2744",25
"OTU1590",25
"OTU3118",25
"OTU1689",25
"OTU3303",25
"OTU2919",25
"OTU1429",25
"OTU2801",25
"OTU1972",25
"OTU1711",25
"OTU1930",25
"OTU2951",25
"OTU1665",25
"OTU710",25
"OTU3050",25
"OTU3257",25
"OTU712",25
"OTU1990",25
"OTU1704",25
"OTU1490",25
"OTU590",25
"OTU2099",25
"OTU1703",25
"OTU2056",25
"OTU1591",26
"OTU2914",26
"OTU1810",26
"OTU1415",26
"OTU2965",26
"OTU2005",26
"OTU1722",26
"OTU1166",26
"OTU1405",26
"OTU636",26
"OTU2370",26
"OTU797",26
"OTU2007",26
"OTU2076",26
"OTU1027",26
"OTU2149",26
"OTU755",26
"OTU1389",26
"OTU2529",26
"OTU643",26
"OTU1639",26
"OTU2020",26
"OTU2330",26
"OTU1848",26
"OTU1696",26
"OTU2420",26
"OTU1666",26
"OTU2602",26
"OTU2314",26
"OTU3014",26
"OTU2449",26
"OTU1430",26
"OTU1344",26
"OTU2328",26
"OTU1307",26
"OTU888",26
"OTU2473",26
"OTU2632",26
"OTU1414",26
"OTU2709",26
"OTU1267",26
"OTU2357",26
"OTU900",26
"OTU2257",26
"OTU2424",26
"OTU1997",26
"OTU2843",26
"OTU588",26
"OTU2110",26
"OTU2108",26
"OTU2041",26
"OTU2102",26
"OTU2087",27
"OTU2821",27
"OTU2084",27
"OTU2992",27
"OTU2064",27
"OTU2931",27
"OTU2051",27
"OTU2040",27
"OTU2874",27
"OTU1576",27
"OTU1871",27
"OTU159",27
"OTU2031",27
"OTU2351",27
"OTU1959",27
"OTU1065",27
"OTU1996",27
"OTU1545",27
"OTU775",27
"OTU2050",27
"OTU1994",27
"OTU749",27
"OTU1770",27
"OTU1499",27
"OTU1738",27
"OTU2062",27
"OTU1602",27
"OTU1627",27
"OTU1725",27
"OTU1678",27
"OTU1492",27
"OTU2899",27
"OTU3200",27
"OTU1776",27
"OTU2027",27
"OTU1563",27
"OTU2086",27
"OTU1546",27
"OTU2822",27
"OTU3007",27
"OTU2063",27
"OTU2088",27
"OTU3093",27
"OTU884",27
"OTU992",27
"OTU1876",27
"OTU1626",27
"OTU392",28
"OTU2327",28
"OTU3124",28
"OTU891",28
"OTU391",28
"OTU725",28
"OTU1326",28
"OTU844",28
"OTU821",28
"OTU2987",28
"OTU1354",28
"OTU280",28
"OTU232",28
"OTU1849",28
"OTU2222",28
"OTU800",28
"OTU2716",28
"OTU186",28
"OTU423",28
"OTU288",28
"OTU1117",28
"OTU2273",28
"OTU120",28
"OTU1120",28
"OTU2336",28
"OTU979",28
"OTU1694",28
"OTU606",28
"OTU3165",28
"OTU956",28
"OTU1495",28
"OTU2952",28
"OTU2065",28
"OTU1629",28
"OTU3270",28
"OTU2882",28
"OTU1532",28
"OTU1841",28
"OTU2786",28
"OTU1660",29
"OTU115",29
"OTU1080",29
"OTU2126",29
"OTU2978",29
"OTU1007",29
"OTU856",29
"OTU2409",29
"OTU2722",29
"OTU639",29
"OTU117",29
"OTU2700",29
"OTU2881",29
"OTU1332",29
"OTU618",29
"OTU709",29
"OTU847",29
"OTU793",29
"OTU1213",29
"OTU1607",29
"OTU681",29
"OTU2359",29
"OTU2376",29
"OTU674",29
"OTU2757",29
"OTU2400",29
"OTU1195",29
"OTU65",29
"OTU1159",29
"OTU886",29
"OTU2756",29
"OTU1093",29
"OTU944",29
"OTU2055",29
"OTU2524",29
"OTU130",29
"OTU2379",29
"OTU960",29
"OTU2129",29
"OTU1244",29
"OTU1021",29
"OTU2262",29
"OTU1273",29
"OTU1888",29
"OTU2282",29
"OTU1335",29
"OTU162",30
"OTU1260",30
"OTU1316",30
"OTU1423",30
"OTU1572",30
"OTU2077",30
"OTU2703",30
"OTU1341",30
"OTU2736",30
"OTU2649",30
"OTU959",30
"OTU1032",30
"OTU741",30
"OTU1428",30
"OTU1595",30
"OTU756",30
"OTU638",30
"OTU1016",30
"OTU3017",30
"OTU557",30
"OTU1932",30
"OTU968",30
"OTU1155",30
"OTU1383",30
"OTU3229",30
"OTU1977",30
"OTU3087",30
"OTU2770",30
"OTU3255",30
"OTU494",30
"OTU579",30
"OTU3037",30
"OTU1616",30
"OTU3109",30
"OTU971",30
"OTU2138",30
"OTU2765",30
"OTU2739",30
"OTU2890",30
"OTU931",30
"OTU2366",30
"OTU2435",30
"OTU686",30
"OTU2852",30
"OTU1676",30
"OTU2038",30
"OTU2964",30
"OTU1921",30
"OTU3233",30
"OTU1312",30
"OTU1238",30
"OTU519",30
"OTU2492",30
"OTU1305",30
"OTU1154",30
"OTU2390",30
"OTU1381",30
"OTU2863",30
"OTU2837",30
"OTU2864",30
"OTU1707",30
"OTU2845",30
"OTU1400",31
"OTU2239",31
